nameWithOwner,id,title,state,createdAt,closedAt,changedFiles,additions,deletions,reviews,body,participants,comments,hours_spent
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MjU3Njk3NTA3,Fix broken SQL link in Scaling AWS exercise,MERGED,2019-03-02T22:43:37Z,2019-03-18T00:55:20Z,1,1,1,1,134,2,1,362.1952777777778
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MjcwMjIzOTIw,Enable syntax highlighting in all python code snippets,MERGED,2019-04-13T12:45:54Z,2019-05-07T10:24:42Z,10,30,30,1,181,2,1,573.6466666666666
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MjczNzY2MDM1,zh-Hans: Translate Pastebin solution,MERGED,2019-04-26T05:31:50Z,2019-06-16T15:21:22Z,2,331,1,8,21,3,6,1233.8255555555556
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0Mjc1NDQ0MzMw,Update HDFS design link to the latest version,MERGED,2019-05-02T17:02:24Z,2019-05-07T10:22:13Z,1,1,1,1,0,2,1,113.33027777777778
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0Mjg5NjM1Nzg5,ja: Fix typo of Big-O notation in KVS section,MERGED,2019-06-19T10:19:06Z,2019-07-06T15:07:14Z,1,1,1,1,348,3,3,412.8022222222222
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MjkzMDU1MTk1,Change disk to HDD for clarity,MERGED,2019-06-29T18:29:29Z,2020-07-11T01:01:13Z,1,3,3,4,212,5,2,9054.528888888888
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0Mjk0OTQ5ODI2,ja: Fix translation in weak consistency section,MERGED,2019-07-05T18:04:55Z,2019-08-03T14:06:58Z,1,2,2,2,198,3,2,692.0341666666667
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0Mjk1Mzk1MTEx,ja: Fix translation in push CDNs section,MERGED,2019-07-08T15:46:23Z,2019-08-03T14:07:35Z,1,1,1,2,109,3,1,622.3533333333334
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0Mjk1Mzk5Njg4,ja: Fix translation in horizontal scaling section,MERGED,2019-07-08T15:57:57Z,2019-08-03T14:07:59Z,1,1,1,2,161,4,3,622.1672222222222
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0Mjk2MjIxMTUz,ja: Fix translation in reverse proxy (web server) section,MERGED,2019-07-10T15:13:37Z,2019-08-03T14:08:19Z,1,1,1,2,103,3,1,574.9116666666666
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0Mjk2MjI3NTky,ja: Fix translation in Federation section,MERGED,2019-07-10T15:27:54Z,2019-08-05T00:30:54Z,1,1,1,2,653,3,1,609.05
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0Mjk4OTgwOTcy,ja: Fix mistranslation in SQL tuning section,MERGED,2019-07-18T15:53:00Z,2019-12-09T03:35:45Z,1,11,11,3,56,3,3,3443.7125
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MzAwMzY5NzM2,ja: Fix translation in Anki flashcards section,MERGED,2019-07-23T16:09:07Z,2019-08-13T23:50:10Z,1,1,1,2,122,3,2,511.68416666666667
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MzAwMzcwMTkz,ja: Fix translation in Load balancer section,MERGED,2019-07-23T16:10:20Z,2019-08-13T23:50:53Z,1,1,1,2,216,3,2,511.67583333333334
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MzAwMzcwNjgy,ja: Fix translation in Service Discovery section,MERGED,2019-07-23T16:11:36Z,2019-08-13T23:51:20Z,1,1,1,2,267,3,2,511.6622222222222
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MzAxODQ5OTEw,Clarify CDN advantages,MERGED,2019-07-28T18:11:56Z,2020-07-10T00:49:44Z,1,1,1,3,131,4,1,8334.63
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MzEyOTc4ODQ5,Fix a typo in Layer 7 load balancer of README.md,MERGED,2019-08-31T20:03:32Z,2020-07-01T00:56:56Z,1,1,1,1,0,2,1,7300.89
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MzEyOTkyMzE4,change CN translation to make it more accurate,MERGED,2019-09-01T01:03:33Z,2019-12-09T03:34:17Z,1,1,1,2,66,3,1,2378.512222222222
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MzE1MzcwMTk4,Add links for latency based and geolocation based routing,MERGED,2019-09-09T05:59:32Z,2020-07-10T00:48:47Z,1,2,2,1,107,2,1,7314.820833333333
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MzE1OTU0ODA1,Update dead links,MERGED,2019-09-10T11:50:46Z,2020-07-09T00:10:17Z,1,2,3,5,0,4,2,7260.325277777778
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MzMyNDIxODM5,Fixed typo.,CLOSED,2019-10-25T09:26:41Z,2019-11-03T10:50:01Z,1,4,4,1,0,2,0,217.38888888888889
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MzM0MTEwODM3,Merge pull request #1 from donnemartin/master,CLOSED,2019-10-30T09:12:43Z,2019-11-03T10:47:08Z,0,0,0,1,4,2,0,97.5736111111111
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MzQxNzE4ODk5,Update url for weighted round robin,CLOSED,2019-11-16T03:54:40Z,2020-07-09T00:08:56Z,1,2,2,2,101,3,1,5660.237777777777
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MzQ5NzI2NjYx,kr: Fix Korean translation link in language index,MERGED,2019-12-06T01:52:23Z,2020-07-05T14:57:58Z,4,4,4,2,184,3,1,5101.093055555555
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MzU2OTA0OTY4,raise NotImplemented —> raise NotImplementedError,MERGED,2019-12-26T08:06:00Z,2019-12-27T01:11:58Z,1,1,1,1,282,2,1,17.099444444444444
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MzYwMTQ2NjM5,Fix broken link in CAP theorem section,MERGED,2020-01-07T19:53:37Z,2020-02-17T02:00:45Z,1,1,1,1,0,2,1,966.1188888888889
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MzYwNTA5MDc2,Resolve #164 - Fix phrasing with availability and partition tolerance,MERGED,2020-01-08T15:17:00Z,2020-07-04T01:22:03Z,1,1,1,2,156,3,1,4258.0841666666665
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MzYxOTAxNDQ2,Fix broken 'round robin' links,MERGED,2020-01-13T02:08:43Z,2020-01-15T15:04:08Z,1,2,2,1,266,2,1,60.923611111111114
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MzY0NDkxMzMx,Fix link,MERGED,2020-01-19T03:32:17Z,2020-01-21T00:26:10Z,1,1,1,1,41,2,1,44.89805555555556
