nameWithOwner,url,createdAt,stargazers,pullRequests
sdmg15/Best-websites-a-programmer-should-visit,https://github.com/sdmg15/Best-websites-a-programmer-should-visit,2017-03-05T20:25:17Z,51174,754
Semantic-Org/Semantic-UI,https://github.com/Semantic-Org/Semantic-UI,2013-04-08T23:32:04Z,50513,765
animate-css/animate.css,https://github.com/animate-css/animate.css,2011-10-12T10:07:38Z,77550,767
3b1b/manim,https://github.com/3b1b/manim,2015-03-22T18:50:58Z,50659,772
jaywcjlove/awesome-mac,https://github.com/jaywcjlove/awesome-mac,2016-07-17T15:33:47Z,59608,797
getify/You-Dont-Know-JS,https://github.com/getify/You-Dont-Know-JS,2013-11-16T02:37:24Z,166723,824
socketio/socket.io,https://github.com/socketio/socket.io,2010-03-11T18:24:48Z,58021,825
josephmisiti/awesome-machine-learning,https://github.com/josephmisiti/awesome-machine-learning,2014-07-15T19:11:19Z,58517,835
Solido/awesome-flutter,https://github.com/Solido/awesome-flutter,2017-05-07T11:45:27Z,46324,858
jwasham/coding-interview-university,https://github.com/jwasham/coding-interview-university,2016-06-06T02:34:12Z,254637,871
goldbergyoni/nodebestpractices,https://github.com/goldbergyoni/nodebestpractices,2017-09-15T08:33:19Z,88635,891
hakimel/reveal.js,https://github.com/hakimel/reveal.js,2011-06-07T18:54:22Z,63503,920
soimort/you-get,https://github.com/soimort/you-get,2012-08-20T15:53:36Z,47121,924
ocornut/imgui,https://github.com/ocornut/imgui,2014-07-21T14:29:47Z,46736,940
jgthms/bulma,https://github.com/jgthms/bulma,2016-01-23T23:48:34Z,47042,953
nvm-sh/nvm,https://github.com/nvm-sh/nvm,2010-04-15T17:47:47Z,66267,958
Snailclimb/JavaGuide,https://github.com/Snailclimb/JavaGuide,2018-05-07T13:27:00Z,132836,1042
MunGell/awesome-for-beginners,https://github.com/MunGell/awesome-for-beginners,2015-10-24T19:53:36Z,50267,1060
sindresorhus/awesome-nodejs,https://github.com/sindresorhus/awesome-nodejs,2014-07-11T13:35:34Z,50679,1064
expressjs/express,https://github.com/expressjs/express,2009-06-26T18:56:01Z,60562,1098
enaqx/awesome-react,https://github.com/enaqx/awesome-react,2014-08-06T05:31:44Z,54709,1101
d3/d3,https://github.com/d3/d3,2010-09-27T17:22:42Z,105014,1114
git/git,https://github.com/git/git,2008-07-23T14:21:26Z,45918,1142
lodash/lodash,https://github.com/lodash/lodash,2012-04-07T04:11:46Z,56060,1160
bradtraversy/design-resources-for-developers,https://github.com/bradtraversy/design-resources-for-developers,2020-05-06T14:40:35Z,50712,1183
anuraghazra/github-readme-stats,https://github.com/anuraghazra/github-readme-stats,2020-07-09T10:34:22Z,54071,1214
axios/axios,https://github.com/axios/axios,2014-08-18T22:30:27Z,99715,1297
airbnb/javascript,https://github.com/airbnb/javascript,2012-11-01T23:13:50Z,133166,1357
gin-gonic/gin,https://github.com/gin-gonic/gin,2014-06-16T23:57:25Z,67927,1369
vinta/awesome-python,https://github.com/vinta/awesome-python,2014-06-27T21:00:06Z,164085,1457
30-seconds/30-seconds-of-code,https://github.com/30-seconds/30-seconds-of-code,2017-11-29T17:35:03Z,110450,1483
tesseract-ocr/tesseract,https://github.com/tesseract-ocr/tesseract,2014-08-12T18:04:59Z,50347,1507
google/guava,https://github.com/google/guava,2014-05-29T16:23:17Z,47214,1507
apache/echarts,https://github.com/apache/echarts,2013-04-03T03:18:59Z,54820,1519
h5bp/html5-boilerplate,https://github.com/h5bp/html5-boilerplate,2010-01-24T18:03:24Z,54215,1569
AUTOMATIC1111/stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui,2022-08-22T14:05:26Z,64119,1574
coder/code-server,https://github.com/coder/code-server,2019-02-27T16:50:41Z,59935,1620
iluwatar/java-design-patterns,https://github.com/iluwatar/java-design-patterns,2014-08-09T16:45:18Z,80950,1625
yt-dlp/yt-dlp,https://github.com/yt-dlp/yt-dlp,2020-10-26T04:22:55Z,45120,1726
tiangolo/fastapi,https://github.com/tiangolo/fastapi,2018-12-08T08:21:47Z,56644,1753
hoppscotch/hoppscotch,https://github.com/hoppscotch/hoppscotch,2019-08-21T13:15:24Z,50931,1812
mermaid-js/mermaid,https://github.com/mermaid-js/mermaid,2014-11-01T23:52:32Z,56546,1824
sindresorhus/awesome,https://github.com/sindresorhus/awesome,2014-07-11T13:42:37Z,249079,1848
caddyserver/caddy,https://github.com/caddyserver/caddy,2015-01-13T19:45:03Z,46783,1924
996icu/996.ICU,https://github.com/996icu/996.ICU,2019-03-26T07:31:14Z,265548,1930
moment/moment,https://github.com/moment/moment,2011-03-01T02:46:06Z,47322,1971
alacritty/alacritty,https://github.com/alacritty/alacritty,2016-02-18T05:02:30Z,46044,1978
vuejs/vue,https://github.com/vuejs/vue,2013-07-29T03:24:51Z,203154,2135
tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,2017-10-06T14:59:14Z,67162,2164
kamranahmedse/developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,2017-03-15T13:45:52Z,236844,2225
psf/requests,https://github.com/psf/requests,2011-02-13T18:38:17Z,49372,2299
pallets/flask,https://github.com/pallets/flask,2010-04-06T11:11:59Z,62560,2366
reduxjs/redux,https://github.com/reduxjs/redux,2015-05-29T23:53:15Z,59468,2401
golang/go,https://github.com/golang/go,2014-08-19T04:33:40Z,110272,2590
awesome-selfhosted/awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,2015-06-01T02:33:17Z,127459,2700
ripienaar/free-for-dev,https://github.com/ripienaar/free-for-dev,2015-03-18T21:06:26Z,68977,2747
scrapy/scrapy,https://github.com/scrapy/scrapy,2010-02-22T02:01:14Z,46823,2797
public-apis/public-apis,https://github.com/public-apis/public-apis,2016-03-20T23:49:42Z,236015,2810
remix-run/react-router,https://github.com/remix-run/react-router,2014-05-16T22:22:51Z,50098,2811
jquery/jquery,https://github.com/jquery/jquery,2009-04-03T15:20:14Z,57355,2826
TheAlgorithms/Java,https://github.com/TheAlgorithms/Java,2016-07-16T10:21:02Z,51269,3056
tauri-apps/tauri,https://github.com/tauri-apps/tauri,2019-07-13T09:09:37Z,62246,3253
sveltejs/svelte,https://github.com/sveltejs/svelte,2016-11-20T18:13:05Z,66956,3284
Eugeny/tabby,https://github.com/Eugeny/tabby,2016-12-23T09:06:10Z,44890,3459
microsoft/terminal,https://github.com/microsoft/terminal,2017-08-11T18:38:22Z,88358,3494
nuxt/nuxt,https://github.com/nuxt/nuxt,2016-10-26T11:18:47Z,44774,3553
tensorflow/models,https://github.com/tensorflow/models,2016-02-05T01:15:20Z,75616,3562
excalidraw/excalidraw,https://github.com/excalidraw/excalidraw,2020-01-02T01:04:43Z,46362,3637
localstack/localstack,https://github.com/localstack/localstack,2016-10-25T23:48:03Z,46691,3645
chartjs/Chart.js,https://github.com/chartjs/Chart.js,2013-03-17T23:56:36Z,60299,3668
syncthing/syncthing,https://github.com/syncthing/syncthing,2013-11-26T09:48:21Z,50588,3710
facebook/create-react-app,https://github.com/facebook/create-react-app,2016-07-17T14:55:11Z,99470,3725
vuejs/awesome-vue,https://github.com/vuejs/awesome-vue,2015-10-20T00:16:14Z,68313,3736
ReactiveX/RxJava,https://github.com/ReactiveX/RxJava,2013-01-08T20:11:48Z,46925,3768
github/gitignore,https://github.com/github/gitignore,2010-11-08T20:17:14Z,146842,3800
ytdl-org/youtube-dl,https://github.com/ytdl-org/youtube-dl,2010-10-31T14:35:07Z,119549,3928
puppeteer/puppeteer,https://github.com/puppeteer/puppeteer,2017-05-09T22:16:13Z,82707,3959
spring-projects/spring-framework,https://github.com/spring-projects/spring-framework,2010-12-08T04:04:45Z,51470,4026
avelino/awesome-go,https://github.com/avelino/awesome-go,2014-07-06T13:42:15Z,99817,4065
vitejs/vite,https://github.com/vitejs/vite,2020-04-21T05:03:57Z,55118,4237
jekyll/jekyll,https://github.com/jekyll/jekyll,2008-10-20T06:29:03Z,46463,4252
gohugoio/hugo,https://github.com/gohugoio/hugo,2013-07-04T15:26:26Z,66524,4255
microsoft/PowerToys,https://github.com/microsoft/PowerToys,2019-05-01T17:44:02Z,89536,4338
laravel/laravel,https://github.com/laravel/laravel,2011-06-08T03:06:08Z,73133,4495
ElemeFE/element,https://github.com/ElemeFE/element,2016-09-03T06:19:26Z,53269,4763
obsproject/obs-studio,https://github.com/obsproject/obs-studio,2013-10-01T02:40:31Z,46864,5184
atom/atom,https://github.com/atom/atom,2012-01-20T18:18:21Z,59293,5249
supabase/supabase,https://github.com/supabase/supabase,2019-10-12T05:56:49Z,48474,5349
redis/redis,https://github.com/redis/redis,2009-03-21T22:32:25Z,59417,5358
spring-projects/spring-boot,https://github.com/spring-projects/spring-boot,2012-10-19T15:02:57Z,66625,5605
